# Xfoil data fot NACA 0018 airfoil
# Re = Inviscous   alfa = 0 
#      x          Cp
     1.00000    0.52814
     0.98969    0.31859
     0.97656    0.25216
     0.96203    0.19665
     0.94616    0.15280
     0.92904    0.11479
     0.91088    0.08105
     0.89186    0.05052
     0.87220    0.02255
     0.85207   -0.00333
     0.83161   -0.02753
     0.81092   -0.05034
     0.79008   -0.07204
     0.76915   -0.09286
     0.74815   -0.11298
     0.72712   -0.13255
     0.70607   -0.15172
     0.68503   -0.17060
     0.66401   -0.18928
     0.64301   -0.20783
     0.62206   -0.22632
     0.60116   -0.24481
     0.58031   -0.26333
     0.55954   -0.28192
     0.53884   -0.30058
     0.51824   -0.31933
     0.49774   -0.33817
     0.47735   -0.35709
     0.45709   -0.37607
     0.43697   -0.39507
     0.41701   -0.41405
     0.39721   -0.43295
     0.37761   -0.45171
     0.35822   -0.47025
     0.33907   -0.48845
     0.32018   -0.50622
     0.30159   -0.52342
     0.28334   -0.53989
     0.26548   -0.55548
     0.24805   -0.56998
     0.23112   -0.58322
     0.21475   -0.59498
     0.19900   -0.60505
     0.18393   -0.61325
     0.16961   -0.61939
     0.15608   -0.62333
     0.14336   -0.62494
     0.13148   -0.62416
     0.12043   -0.62091
     0.11018   -0.61517
     0.10070   -0.60691
     0.09194   -0.59610
     0.08387   -0.58268
     0.07641   -0.56661
     0.06953   -0.54779
     0.06317   -0.52610
     0.05729   -0.50136
     0.05184   -0.47339
     0.04679   -0.44195
     0.04211   -0.40674
     0.03775   -0.36745
     0.03371   -0.32371
     0.02995   -0.27513
     0.02645   -0.22129
     0.02321   -0.16178
     0.02021   -0.09620
     0.01743   -0.02426
     0.01486    0.05424
     0.01251    0.13922
     0.01037    0.23029
     0.00843    0.32656
     0.00670    0.42657
     0.00517    0.52810
     0.00384    0.62822
     0.00271    0.72333
     0.00179    0.80948
     0.00106    0.88277
     0.00053    0.93986
     0.00019    0.97851
     0.00002    0.99765
     0.00002    0.99765
     0.00019    0.97851
     0.00053    0.93986
     0.00106    0.88277
     0.00179    0.80948
     0.00271    0.72333
     0.00384    0.62822
     0.00517    0.52810
     0.00670    0.42657
     0.00843    0.32656
     0.01037    0.23029
     0.01251    0.13922
     0.01486    0.05424
     0.01743   -0.02426
     0.02021   -0.09620
     0.02321   -0.16178
     0.02645   -0.22129
     0.02995   -0.27513
     0.03371   -0.32371
     0.03775   -0.36745
     0.04211   -0.40674
     0.04679   -0.44195
     0.05184   -0.47339
     0.05729   -0.50136
     0.06317   -0.52610
     0.06953   -0.54779
     0.07641   -0.56661
     0.08387   -0.58268
     0.09194   -0.59610
     0.10070   -0.60691
     0.11018   -0.61517
     0.12043   -0.62091
     0.13148   -0.62416
     0.14336   -0.62494
     0.15608   -0.62333
     0.16961   -0.61939
     0.18393   -0.61325
     0.19900   -0.60505
     0.21475   -0.59498
     0.23112   -0.58322
     0.24805   -0.56998
     0.26548   -0.55548
     0.28334   -0.53989
     0.30159   -0.52342
     0.32018   -0.50622
     0.33907   -0.48845
     0.35822   -0.47025
     0.37761   -0.45171
     0.39721   -0.43295
     0.41701   -0.41405
     0.43697   -0.39507
     0.45709   -0.37607
     0.47735   -0.35709
     0.49774   -0.33817
     0.51824   -0.31933
     0.53884   -0.30058
     0.55954   -0.28192
     0.58031   -0.26333
     0.60116   -0.24481
     0.62206   -0.22632
     0.64301   -0.20783
     0.66401   -0.18928
     0.68503   -0.17060
     0.70607   -0.15172
     0.72712   -0.13255
     0.74815   -0.11298
     0.76915   -0.09286
     0.79008   -0.07204
     0.81092   -0.05034
     0.83161   -0.02753
     0.85207   -0.00333
     0.87220    0.02255
     0.89186    0.05052
     0.91088    0.08105
     0.92904    0.11479
     0.94616    0.15280
     0.96203    0.19665
     0.97656    0.25216
     0.98969    0.31859
     1.00000    0.52814
