# Xfoil data fot NACA 0018 airfoil
# Re = Inviscous   alfa = 21
#      x          Cp
     1.00000    0.58874
     0.98969    0.36247
     0.97656    0.27935
     0.96203    0.20331
     0.94616    0.13800
     0.92904    0.07714
     0.91088    0.01935
     0.89186   -0.03631
     0.87220   -0.09037
     0.85207   -0.14324
     0.83161   -0.19527
     0.81092   -0.24677
     0.79008   -0.29805
     0.76915   -0.34939
     0.74815   -0.40107
     0.72712   -0.45336
     0.70607   -0.50648
     0.68503   -0.56070
     0.66401   -0.61624
     0.64301   -0.67333
     0.62206   -0.73220
     0.60116   -0.79308
     0.58031   -0.85622
     0.55954   -0.92184
     0.53884   -0.99021
     0.51824   -1.06158
     0.49774   -1.13622
     0.47735   -1.21444
     0.45709   -1.29654
     0.43697   -1.38285
     0.41701   -1.47374
     0.39721   -1.56959
     0.37761   -1.67081
     0.35822   -1.77786
     0.33907   -1.89121
     0.32018   -2.01139
     0.30159   -2.13893
     0.28334   -2.27439
     0.26548   -2.41833
     0.24805   -2.57132
     0.23112   -2.73384
     0.21475   -2.90636
     0.19900   -3.08919
     0.18393   -3.28257
     0.16961   -3.48657
     0.15608   -3.70115
     0.14336   -3.92618
     0.13148   -4.16148
     0.12043   -4.40690
     0.11018   -4.66232
     0.10070   -4.92774
     0.09194   -5.20331
     0.08387   -5.48925
     0.07641   -5.78598
     0.06953   -6.09400
     0.06317   -6.41388
     0.05729   -6.74627
     0.05184   -7.09183
     0.04679   -7.45116
     0.04211   -7.82479
     0.03775   -8.21304
     0.03371   -8.61594
     0.02995   -9.03305
     0.02645   -9.46329
     0.02321   -9.90471
     0.02021  -10.35411
     0.01743  -10.80672
     0.01486  -11.25571
     0.01251  -11.69180
     0.01037  -12.10281
     0.00843  -12.47347
     0.00670  -12.78558
     0.00517  -13.01878
     0.00384  -13.15228
     0.00271  -13.16729
     0.00179  -13.05025
     0.00106  -12.79592
     0.00053  -12.40973
     0.00019  -11.90762
     0.00002  -11.31809
     0.00002  -10.69101
     0.00019  -10.01580
     0.00053   -9.26578
     0.00106   -8.45555
     0.00179   -7.60468
     0.00271   -6.73857
     0.00384   -5.88258
     0.00517   -5.05908
     0.00670   -4.28531
     0.00843   -3.57263
     0.01037   -2.92697
     0.01251   -2.34976
     0.01486   -1.83921
     0.01743   -1.39141
     0.02021   -1.00130
     0.02321   -0.66331
     0.02645   -0.37186
     0.02995   -0.12163
     0.03371    0.09228
     0.03775    0.27430
     0.04211    0.42833
     0.04679    0.55780
     0.05184    0.66570
     0.05729    0.75460
     0.06317    0.82674
     0.06953    0.88405
     0.07641    0.92819
     0.08387    0.96063
     0.09194    0.98265
     0.10070    0.99540
     0.11018    0.99996
     0.12043    0.99731
     0.13148    0.98841
     0.14336    0.97420
     0.15608    0.95559
     0.16961    0.93348
     0.18393    0.90873
     0.19900    0.88212
     0.21475    0.85436
     0.23112    0.82606
     0.24805    0.79773
     0.26548    0.76977
     0.28334    0.74247
     0.30159    0.71604
     0.32018    0.69064
     0.33907    0.66635
     0.35822    0.64322
     0.37761    0.62125
     0.39721    0.60044
     0.41701    0.58075
     0.43697    0.56214
     0.45709    0.54457
     0.47735    0.52798
     0.49774    0.51232
     0.51824    0.49754
     0.53884    0.48359
     0.55954    0.47041
     0.58031    0.45798
     0.60116    0.44624
     0.62206    0.43516
     0.64301    0.42473
     0.66401    0.41493
     0.68503    0.40574
     0.70607    0.39718
     0.72712    0.38925
     0.74815    0.38198
     0.76915    0.37543
     0.79008    0.36967
     0.81092    0.36480
     0.83161    0.36096
     0.85207    0.35832
     0.87220    0.35715
     0.89186    0.35777
     0.91088    0.36061
     0.92904    0.36627
     0.94616    0.37565
     0.96203    0.39011
     0.97656    0.41360
     0.98969    0.44818
     1.00000    0.58874
