#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7744   0.02186   0.01350   0.0335   1.0000   0.4264
  -4.000  -0.6410   0.02178   0.01370   0.0270   0.9798   0.5031
  -3.000  -0.4729   0.02169   0.01397   0.0157   0.9379   0.5862
  -2.000  -0.3047   0.02132   0.01392   0.0063   0.8963   0.6672
  -1.000  -0.1402   0.02076   0.01366   0.0003   0.8548   0.7402
   0.000   0.0000   0.02056   0.01357   0.0000   0.8020   0.8020
   1.000   0.1402   0.02076   0.01366  -0.0003   0.7402   0.8548
   2.000   0.3046   0.02132   0.01392  -0.0063   0.6672   0.8963
   3.000   0.4728   0.02169   0.01397  -0.0157   0.5862   0.9379
   4.000   0.6410   0.02177   0.01370  -0.0270   0.5031   0.9799
   5.000   0.7741   0.02186   0.01349  -0.0334   0.4265   1.0000
   6.000   0.8403   0.02269   0.01408  -0.0271   0.3665   1.0000
   7.000   0.9004   0.02408   0.01527  -0.0192   0.3124   1.0000
   8.000   0.9564   0.02601   0.01689  -0.0103   0.2658   1.0000
   9.000   1.0021   0.02850   0.01941   0.0003   0.2265   1.0000
  10.000   1.0490   0.03156   0.02242   0.0104   0.1948   1.0000
  11.000   1.1046   0.03525   0.02595   0.0184   0.1692   1.0000
  12.000   1.1311   0.03998   0.03115   0.0294   0.1501   1.0000
  13.000   1.1486   0.04569   0.03720   0.0395   0.1358   1.0000
  14.000   1.1272   0.05459   0.04671   0.0483   0.1260   1.0000
  15.000   0.9611   0.08058   0.07387   0.0455   0.1237   1.0000
  16.000   0.6254   0.18035   0.17411  -0.0048   0.1695   1.0000
  17.000   0.6191   0.19186   0.18557  -0.0141   0.1551   1.0000
  18.000   0.6357   0.20334   0.19705  -0.0225   0.1405   1.0000
  19.000   0.6654   0.21522   0.20893  -0.0298   0.1280   1.0000
  20.000   0.6970   0.22689   0.22062  -0.0373   0.1169   1.0000
  21.000   0.7301   0.23851   0.23226  -0.0449   0.1078   1.0000
  22.000   0.7670   0.25036   0.24414  -0.0519   0.0999   1.0000
  23.000   0.8071   0.26299   0.25680  -0.0585   0.0918   1.0000
  24.000   0.8356   0.27264   0.26649  -0.0681   0.0842   1.0000
  25.000   0.8627   0.28237   0.27624  -0.0786   0.0773   1.0000
