#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5448   0.01341   0.00689  -0.0087   0.9480   0.3742
  -4.000  -0.4196   0.01226   0.00593  -0.0107   0.9158   0.4374
  -3.000  -0.3106   0.01133   0.00514  -0.0088   0.8729   0.4990
  -2.000  -0.2081   0.01072   0.00463  -0.0057   0.8164   0.5611
  -1.000  -0.1041   0.01038   0.00431  -0.0028   0.7544   0.6248
   0.000   0.0000   0.01027   0.00421   0.0000   0.6897   0.6897
   1.000   0.1041   0.01038   0.00431   0.0028   0.6248   0.7544
   2.000   0.2081   0.01072   0.00462   0.0056   0.5611   0.8164
   3.000   0.3106   0.01133   0.00514   0.0088   0.4990   0.8728
   4.000   0.4196   0.01226   0.00593   0.0107   0.4374   0.9158
   5.000   0.5449   0.01341   0.00689   0.0087   0.3742   0.9480
   7.000   0.8492   0.01615   0.00913  -0.0094   0.2447   0.9865
   8.000   0.9824   0.01764   0.01043  -0.0158   0.1925   1.0000
   9.000   1.0180   0.01899   0.01169  -0.0031   0.1633   1.0000
  10.000   1.0282   0.02060   0.01320   0.0143   0.1423   1.0000
  11.000   1.0511   0.02273   0.01536   0.0279   0.1239   1.0000
  12.000   1.0903   0.02620   0.01885   0.0358   0.1083   1.0000
  13.000   1.1307   0.03061   0.02338   0.0410   0.0956   1.0000
  14.000   1.1649   0.03629   0.02918   0.0444   0.0858   1.0000
  15.000   1.0839   0.03995   0.03353   0.0514   0.0801   1.0000
  16.000   1.0918   0.05095   0.04477   0.0520   0.0738   1.0000
  17.000   1.0986   0.06256   0.05656   0.0515   0.0686   1.0000
  18.000   1.0911   0.07616   0.07046   0.0491   0.0641   1.0000
  19.000   1.0483   0.09404   0.08889   0.0439   0.0607   1.0000
  20.000   1.0339   0.10577   0.10077   0.0405   0.0572   1.0000
  21.000   1.1787   0.12040   0.11541   0.0212   0.0525   1.0000
  24.000   0.8359   0.26745   0.26371  -0.0702   0.0452   1.0000
  25.000   0.8743   0.27639   0.27269  -0.0769   0.0423   1.0000
