#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re = 40000.000 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6110   0.00345   0.00093   0.0081   0.0167   0.0005
  -3.000  -0.3674   0.00326   0.00076   0.0050   0.0092   0.0000
  -2.000  -0.2451   0.00320   0.00070   0.0034   0.0067   0.0005
  -1.000  -0.1226   0.00317   0.00067   0.0017   0.0041   0.0012
   0.000   0.0000   0.00316   0.00066   0.0000   0.0027   0.0027
   1.000   0.1226   0.00317   0.00067  -0.0017   0.0012   0.0041
   2.000   0.2451   0.00320   0.00070  -0.0034   0.0005   0.0067
   3.000   0.3675   0.00326   0.00076  -0.0050   0.0000   0.0092
   4.000   0.4895   0.00334   0.00083  -0.0066   0.0001   0.0125
   5.000   0.6110   0.00345   0.00093  -0.0082   0.0005   0.0167
   6.000   0.7321   0.00358   0.00106  -0.0096   0.0015   0.0202
   7.000   0.8525   0.00374   0.00121  -0.0110   0.0027   0.0264
   8.000   0.9721   0.00393   0.00139  -0.0123   0.0048   0.0299
   9.000   1.0908   0.00416   0.00160  -0.0134   0.0067   0.0377
  10.000   1.2084   0.00441   0.00185  -0.0144   0.0100   0.0421
  11.000   1.3248   0.00470   0.00213  -0.0152   0.0125   0.0494
  12.000   1.4398   0.00504   0.00245  -0.0158   0.0171   0.0572
  13.000   1.5530   0.00541   0.00282  -0.0161   0.0202   0.0631
  14.000   1.6644   0.00583   0.00323  -0.0162   0.0261   0.0695
  15.000   1.7734   0.00630   0.00369  -0.0160   0.0300   0.0784
  16.000   1.8797   0.00683   0.00421  -0.0153   0.0370   0.0903
  17.000   1.9826   0.00742   0.00480  -0.0142   0.0421   0.1006
  18.000   2.0814   0.00808   0.00545  -0.0124   0.0468   0.1101
  19.000   2.1744   0.00882   0.00620  -0.0098   0.0549   0.1203
