#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =    70.000 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5876   0.00584   0.00159   0.0039   0.3452   0.0694
  -4.000  -0.4708   0.00564   0.00139   0.0032   0.3118   0.0838
  -3.000  -0.3534   0.00548   0.00124   0.0025   0.2785   0.1031
  -2.000  -0.2358   0.00535   0.00112   0.0017   0.2455   0.1265
  -1.000  -0.1180   0.00527   0.00105   0.0008   0.2130   0.1531
   0.000   0.0000   0.00524   0.00102   0.0000   0.1820   0.1820
   2.000   0.2358   0.00535   0.00112  -0.0017   0.1265   0.2455
   3.000   0.3535   0.00548   0.00124  -0.0025   0.1031   0.2785
   4.000   0.4708   0.00564   0.00139  -0.0032   0.0838   0.3118
   5.000   0.5876   0.00584   0.00159  -0.0039   0.0693   0.3452
   6.000   0.7036   0.00609   0.00183  -0.0045   0.0571   0.3796
   7.000   0.8187   0.00638   0.00212  -0.0049   0.0471   0.4168
   8.000   0.9328   0.00670   0.00245  -0.0052   0.0406   0.4562
   9.000   1.0454   0.00709   0.00284  -0.0053   0.0338   0.4961
  10.000   1.1569   0.00750   0.00327  -0.0053   0.0298   0.5364
  11.000   1.2662   0.00798   0.00376  -0.0049   0.0263   0.5781
  12.000   1.3731   0.00853   0.00433  -0.0042   0.0231   0.6204
  13.000   1.4768   0.00915   0.00497  -0.0031   0.0206   0.6636
  14.000   1.5769   0.00984   0.00570  -0.0014   0.0188   0.7088
  15.000   1.6728   0.01057   0.00647   0.0008   0.0173   0.7594
  16.000   1.7487   0.01150   0.00747   0.0067   0.0159   0.8080
  17.000   1.8246   0.01263   0.00867   0.0117   0.0148   0.8568
  18.000   1.8932   0.01419   0.01034   0.0169   0.0139   0.9109
  19.000   1.9546   0.01624   0.01252   0.0221   0.0126   0.9713
  20.000   2.0120   0.01889   0.01523   0.0266   0.0124   1.0000
  21.000   2.0527   0.02307   0.01945   0.0309   0.0116   1.0000
  22.000   2.0840   0.02859   0.02504   0.0338   0.0107   1.0000
  23.000   2.1060   0.03560   0.03214   0.0353   0.0103   1.0000
  24.000   2.1123   0.04465   0.04130   0.0353   0.0103   1.0000
  25.000   2.0868   0.05760   0.05442   0.0334   0.0101   1.0000
