#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0532   0.00458  -0.00030  -0.0116   0.9674   0.0718
  -9.500  -1.0084   0.00435  -0.00053  -0.0097   0.9521   0.0781
  -9.000  -0.9621   0.00412  -0.00074  -0.0081   0.9350   0.0862
  -8.500  -0.9139   0.00392  -0.00094  -0.0068   0.9161   0.0951
  -8.000  -0.8647   0.00373  -0.00113  -0.0057   0.8951   0.1057
  -7.500  -0.8143   0.00356  -0.00130  -0.0048   0.8719   0.1176
  -7.000  -0.7628   0.00341  -0.00145  -0.0041   0.8479   0.1305
  -6.500  -0.7107   0.00327  -0.00159  -0.0034   0.8211   0.1452
  -6.000  -0.6587   0.00314  -0.00172  -0.0027   0.7917   0.1630
  -5.500  -0.6056   0.00302  -0.00183  -0.0022   0.7634   0.1812
  -5.000  -0.5519   0.00293  -0.00193  -0.0018   0.7326   0.1996
  -4.500  -0.4984   0.00283  -0.00201  -0.0014   0.7025   0.2224
  -4.000  -0.4440   0.00275  -0.00208  -0.0011   0.6721   0.2446
  -3.500  -0.3892   0.00270  -0.00215  -0.0009   0.6414   0.2658
  -3.000  -0.3343   0.00263  -0.00219  -0.0006   0.6126   0.2916
  -2.500  -0.2792   0.00258  -0.00224  -0.0004   0.5818   0.3161
  -2.000  -0.2233   0.00255  -0.00227  -0.0004   0.5545   0.3390
  -1.500  -0.1678   0.00251  -0.00230  -0.0002   0.5261   0.3663
  -1.000  -0.1121   0.00249  -0.00232  -0.0001   0.4972   0.3922
  -0.500  -0.0558   0.00248  -0.00233  -0.0001   0.4715   0.4166
   0.000   0.0000   0.00247  -0.00233   0.0000   0.4442   0.4442
   0.500   0.0558   0.00248  -0.00233   0.0001   0.4166   0.4715
   1.000   0.1121   0.00249  -0.00232   0.0001   0.3922   0.4972
   1.500   0.1678   0.00250  -0.00230   0.0002   0.3663   0.5261
   2.000   0.2233   0.00254  -0.00228   0.0003   0.3390   0.5545
   2.500   0.2792   0.00257  -0.00225   0.0004   0.3161   0.5818
   3.000   0.3344   0.00261  -0.00221   0.0006   0.2916   0.6125
   4.000   0.4441   0.00273  -0.00210   0.0011   0.2446   0.6721
   4.500   0.4984   0.00281  -0.00203   0.0014   0.2224   0.7025
   5.000   0.5520   0.00291  -0.00195   0.0018   0.1995   0.7326
   5.500   0.6057   0.00299  -0.00185   0.0022   0.1812   0.7634
   6.000   0.6588   0.00311  -0.00175   0.0027   0.1629   0.7917
   6.500   0.7108   0.00323  -0.00163   0.0034   0.1451   0.8210
   7.000   0.7629   0.00337  -0.00149   0.0041   0.1304   0.8479
   7.500   0.8145   0.00352  -0.00135   0.0048   0.1176   0.8718
   8.000   0.8649   0.00368  -0.00118   0.0057   0.1057   0.8949
   8.500   0.9141   0.00387  -0.00100   0.0068   0.0950   0.9160
   9.000   0.9623   0.00406  -0.00080   0.0081   0.0861   0.9349
   9.500   1.0086   0.00428  -0.00059   0.0097   0.0781   0.9519
  10.000   1.0535   0.00451  -0.00037   0.0115   0.0718   0.9673
  10.500   1.0982   0.00477  -0.00012   0.0133   0.0658   0.9807
  11.000   1.1461   0.00506   0.00015   0.0142   0.0608   0.9906
  11.500   1.2026   0.00545   0.00051   0.0130   0.0557   0.9943
  12.000   1.2551   0.00587   0.00091   0.0125   0.0513   0.9980
  12.500   1.2901   0.00626   0.00130   0.0153   0.0483   1.0000
  13.000   1.3113   0.00667   0.00173   0.0207   0.0458   1.0000
  13.500   1.3393   0.00723   0.00231   0.0242   0.0430   1.0000
  14.000   1.3690   0.00787   0.00298   0.0270   0.0410   1.0000
  14.500   1.3946   0.00874   0.00388   0.0299   0.0389   1.0000
  15.000   1.4186   0.00982   0.00501   0.0326   0.0371   1.0000
  15.500   1.4396   0.01123   0.00648   0.0350   0.0355   1.0000
  16.000   1.4535   0.01328   0.00859   0.0375   0.0337   1.0000
  16.500   1.4687   0.01564   0.01103   0.0394   0.0328   1.0000
  17.000   1.4759   0.01898   0.01447   0.0412   0.0317   1.0000
  17.500   1.4732   0.02375   0.01934   0.0428   0.0303   1.0000
  18.000   1.4726   0.02905   0.02476   0.0437   0.0296   1.0000
  18.500   1.4720   0.03486   0.03068   0.0439   0.0289   1.0000
  19.000   1.4641   0.04188   0.03782   0.0438   0.0281   1.0000
  19.500   1.4489   0.05022   0.04628   0.0431   0.0273   1.0000
  20.000   1.4246   0.05999   0.05620   0.0417   0.0265   1.0000
  20.500   1.4031   0.06942   0.06579   0.0400   0.0262   1.0000
  21.000   1.3737   0.07984   0.07638   0.0377   0.0259   1.0000
  21.500   1.3356   0.09113   0.08785   0.0347   0.0255   1.0000
  22.000   1.2871   0.10311   0.10002   0.0310   0.0251   1.0000
  22.500   1.2268   0.11539   0.11251   0.0267   0.0248   1.0000
  23.000   1.1571   0.12699   0.12434   0.0218   0.0244   1.0000
  23.500   1.0878   0.13581   0.13337   0.0162   0.0240   1.0000
  24.000   1.0155   0.14457   0.14235   0.0099   0.0233   1.0000
  24.500   0.9733   0.15213   0.15006   0.0044   0.0229   1.0000
  25.000   0.9455   0.15863   0.15668  -0.0005   0.0224   1.0000
