# Xfoil data fot NACA 0018 airfoil
# Re = 3e+5   alfa = 14
#      x          Cp
     1.00000    0.11923
     0.98969    0.11690
     0.97656    0.11429
     0.96203    0.11196
     0.94616    0.11074
     0.92904    0.11264
     0.91088    0.10776
     0.89186    0.09298
     0.87220    0.07151
     0.85207    0.04377
     0.83161    0.01056
     0.81092   -0.02702
     0.79008   -0.06781
     0.76915   -0.11078
     0.74815   -0.15509
     0.72712   -0.20017
     0.70607   -0.24571
     0.68503   -0.29155
     0.66401   -0.33770
     0.64301   -0.38422
     0.62206   -0.43127
     0.60116   -0.47898
     0.58031   -0.52755
     0.55954   -0.57714
     0.53884   -0.62794
     0.51824   -0.68012
     0.49774   -0.73386
     0.47735   -0.78935
     0.45709   -0.84675
     0.43697   -0.90625
     0.41701   -0.96803
     0.39721   -1.03228
     0.37761   -1.09918
     0.35822   -1.16894
     0.33907   -1.24173
     0.32018   -1.31777
     0.30159   -1.39725
     0.28334   -1.48034
     0.26548   -1.56721
     0.24805   -1.65800
     0.23112   -1.75279
     0.21475   -1.85163
     0.19900   -1.95449
     0.18393   -2.06125
     0.16961   -2.17174
     0.15608   -2.28573
     0.14336   -2.40292
     0.13148   -2.52302
     0.12043   -2.64574
     0.11018   -2.77078
     0.10070   -2.89789
     0.09194   -3.02678
     0.08387   -3.15708
     0.07641   -3.28831
     0.06953   -3.41957
     0.06317   -3.54924
     0.05729   -3.67462
     0.05184   -3.79423
     0.04679   -3.92453
     0.04211   -4.24128
     0.03775   -4.47185
     0.03371   -4.57087
     0.02995   -4.67971
     0.02645   -4.80134
     0.02321   -4.93260
     0.02021   -5.06626
     0.01743   -5.19502
     0.01486   -5.31245
     0.01251   -5.41227
     0.01037   -5.48770
     0.00843   -5.53120
     0.00670   -5.53468
     0.00517   -5.49005
     0.00384   -5.39015
     0.00271   -5.22999
     0.00179   -5.00808
     0.00106   -4.72741
     0.00053   -4.39594
     0.00019   -4.02546
     0.00002   -3.63388
     0.00002   -3.24055
     0.00019   -2.83818
     0.00053   -2.42176
     0.00106   -2.00156
     0.00179   -1.58804
     0.00271   -1.19256
     0.00384   -0.82475
     0.00517   -0.49162
     0.00670   -0.19719
     0.00843    0.05735
     0.01037    0.27301
     0.01251    0.45231
     0.01486    0.59869
     0.01743    0.71586
     0.02021    0.80770
     0.02321    0.87764
     0.02645    0.92904
     0.02995    0.96461
     0.03371    0.98691
     0.03775    0.99796
     0.04211    0.99959
     0.04679    0.99325
     0.05184    0.98023
     0.05729    0.96153
     0.06317    0.93811
     0.06953    0.91064
     0.07641    0.87985
     0.08387    0.84626
     0.09194    0.81044
     0.10070    0.77284
     0.11018    0.73395
     0.12043    0.69423
     0.13148    0.65415
     0.14336    0.61418
     0.15608    0.57475
     0.16961    0.53632
     0.18393    0.49925
     0.19900    0.46387
     0.21475    0.43042
     0.23112    0.39907
     0.24805    0.36991
     0.26548    0.34295
     0.28334    0.31817
     0.30159    0.29549
     0.32018    0.27480
     0.33907    0.25598
     0.35822    0.23889
     0.37761    0.22341
     0.39721    0.20940
     0.41701    0.19672
     0.43697    0.18525
     0.45709    0.17489
     0.47735    0.16551
     0.49774    0.15703
     0.51824    0.14934
     0.53884    0.14238
     0.55954    0.13607
     0.58031    0.13035
     0.60116    0.12515
     0.62206    0.12044
     0.64301    0.11618
     0.66401    0.11233
     0.68503    0.10887
     0.70607    0.10580
     0.72712    0.10310
     0.74815    0.10079
     0.76915    0.09887
     0.79008    0.09738
     0.81092    0.09635
     0.83161    0.09583
     0.85207    0.09589
     0.87220    0.09660
     0.89186    0.09804
     0.91088    0.10030
     0.92904    0.10346
     0.94616    0.10758
     0.96203    0.11277
     0.97656    0.11844
     0.98969    0.12670
     1.00000    0.11923
