#
# Data generated using Xfoil and the scrip xfoil.py
# Re = 9e+6
#
#      x          Cp  
     1.00000   -0.07173
     0.98969   -0.07524
     0.97656   -0.07975
     0.96203   -0.08481
     0.94616   -0.09045
     0.92904   -0.09667
     0.91088   -0.10344
     0.89186   -0.11072
     0.87220   -0.11847
     0.85207   -0.12664
     0.83161   -0.13520
     0.81092   -0.14412
     0.79008   -0.15339
     0.76915   -0.16297
     0.74815   -0.17285
     0.72712   -0.18297
     0.70607   -0.19329
     0.68503   -0.20372
     0.66401   -0.21412
     0.64301   -0.22415
     0.62206   -0.23271
     0.60116   -0.23462
     0.58031   -0.24037
     0.55954   -0.28031
     0.53884   -0.33889
     0.51824   -0.41180
     0.49774   -0.49451
     0.47735   -0.58319
     0.45709   -0.67529
     0.43697   -0.76952
     0.41701   -0.86550
     0.39721   -0.96338
     0.37761   -1.06360
     0.35822   -1.16670
     0.33907   -1.27327
     0.32018   -1.38390
     0.30159   -1.49916
     0.28334   -1.61962
     0.26548   -1.74577
     0.24805   -1.87810
     0.23112   -2.01701
     0.21475   -2.16283
     0.19900   -2.31579
     0.18393   -2.47599
     0.16961   -2.64344
     0.15608   -2.81803
     0.14336   -2.99958
     0.13148   -3.18790
     0.12043   -3.38279
     0.11018   -3.58410
     0.10070   -3.79179
     0.09194   -4.00590
     0.08387   -4.22654
     0.07641   -4.45395
     0.06953   -4.68841
     0.06317   -4.93022
     0.05729   -5.17970
     0.05184   -5.43709
     0.04679   -5.70246
     0.04211   -5.97561
     0.03775   -6.25577
     0.03371   -6.54117
     0.02995   -6.82790
     0.02645   -7.10968
     0.02321   -7.38982
     0.02021   -7.74514
     0.01743   -8.31249
     0.01486   -8.51173
     0.01251   -8.74525
     0.01037   -8.99012
     0.00843   -9.21273
     0.00670   -9.39005
     0.00517   -9.50409
     0.00384   -9.53911
     0.00271   -9.48199
     0.00179   -9.32424
     0.00106   -9.06403
     0.00053   -8.70770
     0.00019   -8.26917
     0.00002   -7.77295
     0.00002   -7.25332
     0.00019   -6.70074
     0.00053   -6.09998
     0.00106   -5.46373
     0.00179   -4.80761
     0.00271   -4.15088
     0.00384   -3.51201
     0.00517   -2.90661
     0.00670   -2.34611
     0.00843   -1.83741
     0.01037   -1.38337
     0.01251   -0.98368
     0.01486   -0.63584
     0.01743   -0.33599
     0.02021   -0.07965
     0.02321    0.13788
     0.02645    0.32113
     0.02995    0.47432
     0.03371    0.60128
     0.03775    0.70542
     0.04211    0.78965
     0.04679    0.85660
     0.05184    0.90843
     0.05729    0.94709
     0.06317    0.97416
     0.06953    0.99108
     0.07641    0.99904
     0.08387    0.99911
     0.09194    0.99222
     0.10070    0.97925
     0.11018    0.96096
     0.12043    0.93814
     0.13148    0.91150
     0.14336    0.88182
     0.15608    0.84977
     0.16961    0.81609
     0.18393    0.78142
     0.19900    0.74639
     0.21475    0.71151
     0.23112    0.67721
     0.24805    0.64384
     0.26548    0.61164
     0.28334    0.58077
     0.30159    0.55133
     0.32018    0.52336
     0.33907    0.49684
     0.35822    0.47176
     0.37761    0.44804
     0.39721    0.42562
     0.41701    0.40441
     0.43697    0.38433
     0.45709    0.36528
     0.47735    0.34719
     0.49774    0.32996
     0.51824    0.31350
     0.53884    0.29775
     0.55954    0.28261
     0.58031    0.26801
     0.60116    0.25389
     0.62206    0.24017
     0.64301    0.22681
     0.66401    0.21373
     0.68503    0.20088
     0.70607    0.18822
     0.72712    0.17568
     0.74815    0.16324
     0.76915    0.15083
     0.79008    0.13843
     0.81092    0.12599
     0.83161    0.11348
     0.85207    0.10086
     0.87220    0.08812
     0.89186    0.07523
     0.91088    0.06219
     0.92904    0.04901
     0.94616    0.03568
     0.96203    0.02260
     0.97656    0.00788
     0.98969    0.00594
     1.00000   -0.07173
