#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5223   0.01023   0.00451  -0.0108   0.9167   0.3308
  -4.000  -0.4197   0.00947   0.00382  -0.0082   0.8714   0.3861
  -3.000  -0.3161   0.00894   0.00332  -0.0059   0.8155   0.4432
  -2.000  -0.2110   0.00861   0.00297  -0.0038   0.7540   0.5021
  -1.000  -0.1055   0.00844   0.00277  -0.0019   0.6897   0.5628
   0.000   0.0000   0.00838   0.00270   0.0000   0.6255   0.6255
   1.000   0.1055   0.00844   0.00277   0.0019   0.5628   0.6897
   2.000   0.2110   0.00861   0.00297   0.0038   0.5021   0.7540
   3.000   0.3161   0.00894   0.00332   0.0059   0.4432   0.8155
   4.000   0.4198   0.00947   0.00382   0.0082   0.3861   0.8714
   5.000   0.5223   0.01023   0.00451   0.0108   0.3308   0.9167
   6.000   0.6287   0.01126   0.00537   0.0123   0.2771   0.9516
   7.000   0.7599   0.01261   0.00649   0.0079   0.2228   0.9715
   8.000   0.9016   0.01414   0.00778   0.0006   0.1739   0.9843
   9.000   1.0400   0.01584   0.00930  -0.0065   0.1355   0.9963
  10.000   1.1039   0.01730   0.01069   0.0009   0.1134   1.0000
  11.000   1.1039   0.01875   0.01213   0.0203   0.1005   1.0000
  12.000   1.1485   0.02112   0.01457   0.0293   0.0878   1.0000
  13.000   1.1924   0.02482   0.01834   0.0354   0.0775   1.0000
  14.000   1.2268   0.03019   0.02383   0.0395   0.0695   1.0000
  15.000   1.2528   0.03729   0.03112   0.0414   0.0633   1.0000
  16.000   1.2707   0.04613   0.04022   0.0411   0.0583   1.0000
  17.000   1.2728   0.05752   0.05192   0.0391   0.0543   1.0000
  18.000   1.2631   0.07106   0.06570   0.0353   0.0510   1.0000
  19.000   1.2519   0.08567   0.08060   0.0301   0.0480   1.0000
  20.000   1.2382   0.10087   0.09607   0.0242   0.0454   1.0000
  21.000   1.2277   0.11620   0.11160   0.0171   0.0428   1.0000
  22.000   1.2131   0.13257   0.12830   0.0084   0.0405   1.0000
  23.000   1.2106   0.14726   0.14315  -0.0006   0.0384   1.0000
  24.000   1.1810   0.16761   0.16392  -0.0145   0.0363   1.0000
  25.000   1.1727   0.18437   0.18087  -0.0272   0.0342   1.0000
