#
# Data generated using Xfoil and the scrip xfoil.py
# Re = 4e+5
#
#      x          Cp  
     1.00000    0.27946
     0.98969    0.25236
     0.97656    0.21514
     0.96203    0.17876
     0.94616    0.14354
     0.92904    0.11040
     0.91088    0.07962
     0.89186    0.05125
     0.87220    0.02515
     0.85207    0.00116
     0.83161   -0.02091
     0.81092   -0.04121
     0.79008   -0.05983
     0.76915   -0.07682
     0.74815   -0.09232
     0.72712   -0.10721
     0.70607   -0.12521
     0.68503   -0.15735
     0.66401   -0.21781
     0.64301   -0.27172
     0.62206   -0.28126
     0.60116   -0.29125
     0.58031   -0.30173
     0.55954   -0.31286
     0.53884   -0.32481
     0.51824   -0.33774
     0.49774   -0.35174
     0.47735   -0.36683
     0.45709   -0.38291
     0.43697   -0.39981
     0.41701   -0.41729
     0.39721   -0.43516
     0.37761   -0.45319
     0.35822   -0.47121
     0.33907   -0.48904
     0.32018   -0.50653
     0.30159   -0.52351
     0.28334   -0.53981
     0.26548   -0.55524
     0.24805   -0.56963
     0.23112   -0.58275
     0.21475   -0.59441
     0.19900   -0.60439
     0.18393   -0.61249
     0.16961   -0.61854
     0.15608   -0.62239
     0.14336   -0.62391
     0.13148   -0.62302
     0.12043   -0.61966
     0.11018   -0.61380
     0.10070   -0.60541
     0.09194   -0.59446
     0.08387   -0.58089
     0.07641   -0.56466
     0.06953   -0.54566
     0.06317   -0.52377
     0.05729   -0.49884
     0.05184   -0.47066
     0.04679   -0.43900
     0.04211   -0.40357
     0.03775   -0.36406
     0.03371   -0.32011
     0.02995   -0.27132
     0.02645   -0.21730
     0.02321   -0.15763
     0.02021   -0.09193
     0.01743   -0.01991
     0.01486    0.05859
     0.01251    0.14350
     0.01037    0.23440
     0.00843    0.33042
     0.00670    0.43006
     0.00517    0.53114
     0.00384    0.63073
     0.00271    0.72528
     0.00179    0.81086
     0.00106    0.88364
     0.00053    0.94030
     0.00019    0.97867
     0.00002    0.99767
     0.00002    0.99767
     0.00019    0.97867
     0.00053    0.94030
     0.00106    0.88364
     0.00179    0.81086
     0.00271    0.72528
     0.00384    0.63073
     0.00517    0.53114
     0.00670    0.43006
     0.00843    0.33042
     0.01037    0.23440
     0.01251    0.14350
     0.01486    0.05859
     0.01743   -0.01991
     0.02021   -0.09193
     0.02321   -0.15763
     0.02645   -0.21730
     0.02995   -0.27132
     0.03371   -0.32011
     0.03775   -0.36406
     0.04211   -0.40357
     0.04679   -0.43900
     0.05184   -0.47066
     0.05729   -0.49884
     0.06317   -0.52377
     0.06953   -0.54566
     0.07641   -0.56466
     0.08387   -0.58089
     0.09194   -0.59446
     0.10070   -0.60541
     0.11018   -0.61380
     0.12043   -0.61966
     0.13148   -0.62302
     0.14336   -0.62391
     0.15608   -0.62239
     0.16961   -0.61854
     0.18393   -0.61249
     0.19900   -0.60439
     0.21475   -0.59441
     0.23112   -0.58275
     0.24805   -0.56963
     0.26548   -0.55524
     0.28334   -0.53981
     0.30159   -0.52351
     0.32018   -0.50653
     0.33907   -0.48904
     0.35822   -0.47121
     0.37761   -0.45319
     0.39721   -0.43516
     0.41701   -0.41729
     0.43697   -0.39981
     0.45709   -0.38291
     0.47735   -0.36683
     0.49774   -0.35174
     0.51824   -0.33774
     0.53884   -0.32481
     0.55954   -0.31286
     0.58031   -0.30173
     0.60116   -0.29125
     0.62206   -0.28126
     0.64301   -0.27172
     0.66401   -0.21781
     0.68503   -0.15735
     0.70607   -0.12521
     0.72712   -0.10721
     0.74815   -0.09232
     0.76915   -0.07682
     0.79008   -0.05983
     0.81092   -0.04121
     0.83161   -0.02091
     0.85207    0.00116
     0.87220    0.02515
     0.89186    0.05125
     0.91088    0.07962
     0.92904    0.11040
     0.94616    0.14354
     0.96203    0.17876
     0.97656    0.21514
     0.98969    0.25236
     1.00000    0.27946
